"ID"	"Name"	"Designator"	"Footprint"	"Quantity"	"Manufacturer Part"	"Manufacturer"	"Supplier"	"Supplier Part"
"1"	"bypass uC"	"P1"	"HDR-1X2/2.54"	"1"				
"2"	"teensy_internal_power"	"P3"	"HDR-1X2/2.54"	"1"				
"3"	"RB168VAM-60TR"	"D1"	"SOD-323HE_L2.0-W1.4-LS2.5-RD"	"1"	"RB168VAM-60TR"	"ROHM Semiconductor"	"Farnell"	"755-RB168VAM-60TR"
"4"	"LM5001MA"	"U6"	"SOIC8"	"1"	"LM5001MAX/NOPB"	"Texas Instruments"	"Farnell"	"3007207"
"5"	"LAN-TRANSFORMER ETH1-230L, POE"	"T1"	"ETH1-230L"	"1"	"ETH1-230L"	"Coilcraft"	"Farnell"	"2527014"
"6"	"FUSE"	"F1"	"FUSE_KEYSTONE_3549"	"1"	"3550-2"	"Keystone Electronics"	"Mouser"	"534-3550-2"
"7"	"FUSE 1A"	"F2"	"F1206"	"1"	"0685F1000-01"	"BEL FUSE - CIRCUIT PROTECTION"	"Farnell"	"2834835"
"8"	"330uF"	"C15,C16"	"2917 TANTALUM CAPACITOR"	"2"	"TCJY337M006R0015"	"AVX"	"Mouser"	"581-TCJY337M006R0015"
"9"	"1000uF"	"C18,C19"	"CAP-TH_BD10.0-P5.00-D1.0-FD"	"2"	"TCJY337M006R0015"	"AVX"	"Mouser"	"581-TCJY337M006R0015"
"10"	"330uF"	"C20,C21,C23,C24"	"CAP-TH_BD8.0-P3.50-D1.0-FD"	"4"	"TCJY337M006R0015"	"AVX"	"Mouser"	"581-TCJY337M006R0015"
"11"	"P78E09-1000"	"U9"	"P78E-1000"	"1"	"P78E09-1000"	"CUI Inc."	"Mouser"	"490-P78E09-1000"
"12"	"33uF 63V"	"C6"	"CAP-TH_BD6.3-P2.50-D1.0-FD"	"1"	"710-860010473009"	"Wurth Elektronik"	"Mouser"	"860010473009"
"13"	"BSS138P,215"	"Q2"	"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR"	"1"	"BSS138P,215"	"Nexperia"		
"14"	"4K7"	"R41,R42"	"0805"	"2"	"?"			
"15"	"5K23"	"R17"	"0805"	"1"	"?"			
"16"	"1K"	"R24"	"0805"	"1"	"?"			
"17"	"SN74LV1T34DBVR"	"U12"	"TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL"	"1"	"SN74LV1T34DCKR"	"Texas Instruments"		
"18"	"v1+"	"VEXT+1"	"2.5MM_HOLE"	"1"	"?"			
"19"	"v1-"	"VEXT-1"	"2.5MM_HOLE"	"1"	"?"			
"20"	"v2+"	"VBAT+1"	"2.5MM_HOLE"	"1"	"?"			
"21"	"v2-"	"VBAT-1"	"2.5MM_HOLE"	"1"	"?"			
"22"	"Molex_Mini-Lock_4"	"JP4"	"MOLEX_MINI-LOCK_4_POSITION"	"1"	"53426-0610"	"MOLEX"	"Mouser"	"987651-9241"
"23"	"BUS2_1"	"RLEG1"	"MOLEX SPOX"	"1"	"22-03-5045"	"MOLEX"		
"24"	"BUS3_1"	"HEAD1"	"MOLEX SPOX"	"1"	"22-03-5045"	"MOLEX"		
"25"	"BUS0_1"	"LLEG1"	"MOLEX SPOX"	"1"	"22-03-5045"	"MOLEX"		
"26"	"BUS1_1"	"LARM1"	"MOLEX SPOX"	"1"	"22-03-5045"	"MOLEX"		
"27"	"BUS1_2"	"RARM1"	"MOLEX SPOX"	"1"	"22-03-5045"	"MOLEX"		
"28"	"SMAJ58A/TR7"	"D3"	"SMA(DO-214AC)"	"1"	"SMAJ58A/TR7"	"YAGEO"	"Farnell"	"3103979"
"29"	"0.1uF"	"C4,C3,C2,C1,C9,C27,C29"	"C0805"	"7"	"?"			
"30"	"10uF"	"C5,C14,C13,C12,C25"	"C0805"	"5"	"?"			
"31"	"2200pF 100V"	"C7"	"C0805"	"1"	"?"			
"32"	"1uF"	"C8"	"C0805"	"1"	"?"			
"33"	"1nF"	"C10"	"C0805"	"1"	"?"			
"34"	"0.047uF"	"C11"	"C0805"	"1"	"?"			
"35"	"22uF"	"C26"	"C1206"	"1"	"?"			
"36"	"47uF"	"C17"	"C0805"	"1"	"?"			
"37"	"0.1uF 100V"	"C28,C30"	"C0805"	"2"	"?"			
"38"	"1000pF 100V"	"C33,C34"	"C0805"	"2"	"?"			
"39"	"0.01uF 100V"	"C31,C32"	"C0805"	"2"	"?"			
"40"	"LED RED"	"LED1"	"3MM"	"1"	"MCL034PT"	"MULTICOMP PRO"	"Farnell"	"1581121"
"41"	"LED GREEN"	"LED2"	"3MM"	"1"	"MCL034GD"	"MULTICOMP PRO"	"Farnell"	"1581114"
"42"	"LED ORANGE"	"LED6"	"3MM"	"1"	"MCL034PT"	"MULTICOMP PRO"	"Farnell"	"1581121"
"43"	"FTDI4232H MINI MODULE"	"U4"	"FTDI4232H MINI MODULE"	"1"	"FT4232H MINI MODULE"	"FTDI"	"Farnell"	"1697466"
"44"	"LTC4263IS#PBF"	"U13"	"SOIC14N"	"1"	"LTC4263IS#PBF"	"LINEAR"	"Mouser"	"584-LTC4263CS#PBF"
"45"	"SP485ECN-L"	"U5,U3,U2,U1,U11"	"SOIC-8_150MIL"	"5"	"SP485ECN-L"	"MaxLinear"	"Farnell"	"9387153"
"46"	"615008148521"	"J1"	"615008148521"	"1"	"615008148521"	"WURTH ELEKTRONIK"	"Farnell"	"2827827"
"47"	"615008144221"	"J2"	"615008144221"	"1"	"615008144221"	"WURTH ELEKTRONIK"		"2827824"
"48"	"teensy4.0"	"TEENSY1"	"TEENSY4.0_NO_BACKPINS"	"1"		"PJRC"	"PJRC"	
"49"	"M02"	"JP1,JP2"	"MOLEX_SPOX_2"	"2"	"22-03-5025"	"MOLEX"		
